EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	07:37:37	0	0.0000	0.7998349634041524	0.3060855567455292	0.5879	0.5592	0.5732	0.9004	0.324864000082016	0.5596	0.5411	0.5502	0.8968
2	07:39:22	0	0.0000	0.31489205452489416	0.21249648928642273	0.7577	0.7476	0.7526	0.9348	0.241384819149971	0.7243	0.7057	0.7149	0.9274
3	07:41:11	0	0.0000	0.25408677981349376	0.19729430973529816	0.7574	0.7833	0.7701	0.9378	0.239797443151474	0.7203	0.743	0.7315	0.929
4	07:43:00	0	0.0000	0.22939364489742228	0.16957058012485504	0.7946	0.7933	0.7939	0.9471	0.22333812713623047	0.7388	0.7338	0.7363	0.9329
5	07:44:46	0	0.0000	0.19855821792040618	0.1459779441356659	0.8228	0.8198	0.8213	0.9546	0.21410144865512848	0.7429	0.7454	0.7441	0.9356
6	07:46:33	1	0.0000	0.1795306794336731	0.1400831639766693	0.7971	0.8633	0.8289	0.9551	0.22532613575458527	0.7157	0.7846	0.7486	0.9344
7	07:48:02	2	0.0000	0.16208085702846003	0.13968247175216675	0.8932	0.7777	0.8315	0.958	0.2497834414243698	0.807	0.6718	0.7332	0.936
8	07:49:28	1	0.0000	0.1527158331239577	0.10666860640048981	0.862	0.8714	0.8667	0.9676	0.21803835034370422	0.749	0.7512	0.7501	0.9376
9	07:50:54	2	0.0000	0.13880129579981004	0.09972985088825226	0.8629	0.8814	0.8721	0.969	0.22082297503948212	0.747	0.7575	0.7522	0.9383
10	07:52:21	1	0.0000	0.1274500384868619	0.09424158930778503	0.8726	0.8861	0.8793	0.971	0.22357980906963348	0.7469	0.7527	0.7498	0.9378
11	07:53:46	2	0.0000	0.12367590920034813	0.09376189857721329	0.8704	0.8924	0.8813	0.9716	0.22922992706298828	0.7414	0.7633	0.7522	0.9377
12	07:55:13	1	0.0000	0.11739666978933269	0.08936187624931335	0.8748	0.8945	0.8845	0.9724	0.2273721694946289	0.7496	0.7623	0.7559	0.939
13	07:56:39	2	0.0000	0.11468181869733858	0.08574479818344116	0.8845	0.8922	0.8884	0.9737	0.22896721959114075	0.7565	0.7502	0.7533	0.9385
14	07:58:05	1	0.0000	0.1139777026247397	0.08583981543779373	0.8821	0.8958	0.8889	0.9737	0.2294926941394806	0.7522	0.758	0.7551	0.9387
15	07:59:30	2	0.0000	0.11029602723797376	0.08597242087125778	0.8782	0.8997	0.8888	0.9735	0.23250260949134827	0.7456	0.7648	0.7551	0.9382
16	08:00:59	1	0.0000	0.11091614787910915	0.08481640368700027	0.881	0.8982	0.8895	0.9738	0.2330416589975357	0.7489	0.7594	0.7541	0.9383
17	08:02:26	2	0.0000	0.11154576285775734	0.08408570289611816	0.8839	0.8985	0.8911	0.9743	0.23575621843338013	0.7528	0.7604	0.7566	0.9389
18	08:03:52	1	0.0000	0.11053219785465902	0.08348634839057922	0.8849	0.898	0.8914	0.9744	0.23525114357471466	0.7537	0.7585	0.7561	0.939
19	08:05:18	2	0.0000	0.11050782482923681	0.08297470957040787	0.8866	0.898	0.8922	0.9746	0.23492124676704407	0.7555	0.7585	0.757	0.9393
20	08:06:45	1	0.0000	0.10952929816467923	0.08378034085035324	0.8833	0.8998	0.8915	0.9743	0.23547261953353882	0.7501	0.7599	0.755	0.9386
21	08:08:13	2	0.0000	0.11004871762074335	0.08328529447317123	0.8848	0.8994	0.892	0.9745	0.23586790263652802	0.7526	0.7599	0.7563	0.9389
